Data Source,Human Capital Index,,,,,,,,,,,,,
Last Updated Date,9/21/2020,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Afghanistan,AFG,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.389,0.3934892416,,0.4002841413
Angola,AGO,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.361,0.3601909578,,0.3624053895
Albania,ALB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5436029434,,,,,,,0.621,0.6286662817,,0.6342509389
Andorra,AND,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
United Arab Emirates,ARE,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6212740541,,,,,,,0.659,0.6760012507,,0.673011899
Argentina,ARG,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5885570645,,,,,,,0.611,0.6173667312,,0.6021447182
Armenia,ARM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.572,0.581725955,,0.5789988041
American Samoa,ASM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Antigua and Barbuda,ATG,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,0.57821697,,0.5957038999
Australia,AUS,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7548437715,,,,,,,0.803,0.7808339596,,0.770239532
Austria,AUT,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7377821207,,,,,,,0.793,0.7686731219,,0.7467397451
Azerbaijan,AZE,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.4974573851,,,,,,,0.597,0.6293121576,,0.5777675509
Burundi,BDI,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.3428755105,,,,,,,0.38,0.389574796,,0.3861706257
Belgium,BEL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7527268529,,,,,,,0.757,0.7627597451,,0.7604196668
Benin,BEN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.3655847907,,,,,,,0.406,0.3969503343,,0.4002907276
Burkina Faso,BFA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.3197212815,,,,,,,0.369,0.3782839775,,0.3836919367
Bangladesh,BGD,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.479,0.4585532844,,0.4640364349
Bulgaria,BGR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6366192698,,,,,,,0.676,0.6702772379,,0.6138981581
Bahrain,BHR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.604912281,,,,,,,0.668,0.663898766,,0.6524720192
"Bahamas, The",BHS,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.618,0.6192650199,,0.5796840787
Belarus,BLR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,0.7000781894
Belize,BLZ,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Bermuda,BMU,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Bolivia,BOL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Brazil,BRA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5329524875,,,,,,,0.56,0.5457237363,,0.5514979362
Barbados,BRB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Brunei Darussalam,BRN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,0.6263913512
Bhutan,BTN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,0.4752970338
Botswana,BWA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.3677121103,,,,,,,0.424,0.4125165045,,0.4140284956
Central African Republic,CAF,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,0.2916319072
Canada,CAN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7741037607,,,,,,,0.799,0.8000899553,,0.7975201011
Switzerland,CHE,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7681437135,,,,,,,0.767,0.7661076188,,0.7561151385
Channel Islands,CHI,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Chile,CHL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6263599992,,,,,,,0.674,0.6652651429,,0.6516041756
China,CHN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.673,0.6470988393,,0.6531026363
Cote d'Ivoire,CIV,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.303838104,,,,,,,0.353,0.3699683547,,0.3798893392
Cameroon,CMR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.3797829449,,,,,,,0.394,0.3933206797,,0.3974015117
"Congo, Dem. Rep.",COD,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.369,0.3645287454,,0.3663692772
"Congo, Rep.",COG,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.4092717469,,,,,,,0.42,0.4178355336,,0.4192657173
Colombia,COL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5802494884,,,,,,,0.593,0.5986538529,,0.6043303013
Comoros,COM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.409,0.4009501338,,0.4046882987
Cabo Verde,CPV,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Costa Rica,CRI,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5977588892,,,,,,,0.619,0.6032587886,,0.6286350489
Cuba,CUB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Curacao,CUW,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Cayman Islands,CYM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Cyprus,CYP,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6863619685,,,,,,,0.751,0.7546170354,,0.7555202246
Czech Republic,CZE,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7269691229,,,,,,,0.782,0.7645167112,,0.7522574067
Germany,DEU,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7607402802,,,,,,,0.795,0.7637727857,,0.7511624694
Djibouti,DJI,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Dominica,DMA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,0.5517372489,,0.5447493196
Denmark,DNK,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7487384081,,,,,,,0.774,0.7708318233,,0.7550948262
Dominican Republic,DOM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.492,0.5068802834,,0.5027669072
Algeria,DZA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5312829018,,,,,,,0.523,0.5319939256,,0.5345564485
Ecuador,ECU,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.525806725,,,,,,,0.602,0.5962195396,,0.5942548513
"Egypt, Arab Rep.",EGY,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.4788530469,,,,,,,0.486,0.4925123453,,0.4943746626
Eritrea,ERI,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Spain,ESP,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7082855701,,,,,,,0.743,0.736156404,,0.7282550335
Estonia,EST,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7256637812,,,,,,,0.747,0.774125278,,0.7772032022
Ethiopia,ETH,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.385,0.3841005862,,0.3827848434
Finland,FIN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.817361474,,,,,,,0.814,0.8144840002,,0.7960010171
Fiji,FJI,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,0.5085732937
France,FRA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7568918467,,,,,,,0.765,0.7559602857,,0.7627372146
Faroe Islands,FRO,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,0.4664167762,,0.5059665442
Gabon,GAB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.453,0.4563878775,,0.4576124549
United Kingdom,GBR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7654536963,,,,,,,0.781,0.7769822478,,0.7829429507
Georgia,GEO,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5411488414,,,,,,,0.614,0.6090577245,,0.5689257979
Ghana,GHA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.439,0.443490088,,0.4500564039
Gibraltar,GIB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Guinea,GIN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.374,0.3690825999,,0.3709424734
"Gambia, The",GMB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.371689707,,,,,,,0.397,0.4032928646,,0.4215706289
Guinea-Bissau,GNB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Equatorial Guinea,GNQ,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Greece,GRC,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7148603201,,,,,,,0.681,0.6948058605,,0.6900064945
Grenada,GRD,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,0.5411949158,,0.5650705099
Greenland,GRL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Guatemala,GTM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.4419408143,,,,,,,0.46,0.4567712247,,0.4612700939
Guam,GUM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Guyana,GUY,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.495,0.4943430424,,0.4952264726
"Hong Kong SAR, China",HKG,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7809075713,,,,,,,0.822,0.8217180371,,0.8127565384
Honduras,HND,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.49,0.4803059399,,0.4810231328
Croatia,HRV,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6932993531,,,,,,,0.723,0.7293656468,,0.7096939683
Haiti,HTI,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.446,0.4447879791,,0.4465649128
Hungary,HUN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6897298694,,,,,,,0.703,0.7050645947,,0.6830872893
Indonesia,IDN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.4963614345,,,,,,,0.535,0.5379572511,,0.5400384665
Isle of Man,IMN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
India,IND,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.44,0.4847958088,,0.4935109019
Ireland,IRL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.766302526,,,,,,,0.806,0.813675344,,0.7925990224
"Iran, Islamic Rep.",IRN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5643219352,,,,,,,0.591,0.5922091007,,0.5934044719
Iraq,IRQ,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.398,0.39948228,,0.4076432884
Iceland,ISL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7551776171,,,,,,,0.74,0.7434310913,,0.7452818751
Israel,ISR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7182690501,,,,,,,0.763,0.7630644441,,0.7339953184
Italy,ITA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7502658367,,,,,,,0.769,0.7528803945,,0.7278196812
Jamaica,JAM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.544,0.5392719507,,0.5349779129
Jordan,JOR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5565270782,,,,,,,0.562,0.5469301939,,0.5531743765
Japan,JPN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.816187501,,,,,,,0.844,0.8407092094,,0.8047142625
Kazakhstan,KAZ,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5940297842,,,,,,,0.746,0.7770603895,,0.628506422
Kenya,KEN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.518,0.5421860814,,0.5467525125
Kyrgyz Republic,KGZ,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.58,0.5935462117,,0.5966171026
Cambodia,KHM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.493,0.4906848669,,0.491589874
Kiribati,KIR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.479,0.470715493,,0.4925929308
St. Kitts and Nevis,KNA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,0.5724744201,,0.5861816406
"Korea, Rep.",KOR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.8246273994,,,,,,,0.845,0.8345450759,,0.798776269
Kuwait,KWT,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5717145205,,,,,,,0.576,0.5642602444,,0.5625880361
Lao PDR,LAO,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.452,0.4568154216,,0.4566653371
